ROI,Label,R,G,B,alpha,recoded_name
L_RM_V1,600,255,255,0,255,V1_L
L_RM_V2,601,255,37,255,255,V2_L
L_RM_Ip,602,122,242,43,255,Ip_L
L_RM_Ia,603,255,35,70,255,Ia_L
L_RM_A1,604,255,159,4,255,A1_L
L_RM_A2,605,250,34,179,255,A2_L
L_RM_TCs,606,93,70,244,255,TCs_L
L_RM_TCc,607,255,27,51,255,TCc_L
L_RM_TCi,608,156,182,73,255,TCi_L
L_RM_TCpol,609,255,249,0,255,TCpol_L
L_RM_TCv,610,93,255,97,255,TCv_L
L_RM_PHC,611,74,137,255,255,PHC_L
L_RM_S1,612,248,45,33,255,S1_L
L_RM_S2,613,56,218,220,255,S2_L
L_RM_PCi,614,229,252,41,255,PCi_L
L_RM_PCip,615,51,179,87,255,PCip_L
L_RM_PCs,616,204,0,255,255,PCs_L
L_RM_PCm,617,14,255,91,255,PCm_L
L_RM_M1,618,19,53,255,255,M1_L
L_RM_PMCm,619,255,125,12,255,PMCm_L
L_RM_PMCdl,620,220,109,185,255,PMCdl_L
L_RM_PMCvl,621,222,155,78,255,PMCvl_L
L_RM_FEF,622,255,217,71,255,FEF_L
L_RM_PFCdm,623,247,40,132,255,PFCdm_L
L_RM_PFCdl,624,80,153,219,255,PFCdl_L
L_RM_PFCcl,625,208,77,58,255,PFCcl_L
L_RM_PFCol,626,255,221,53,255,PFCol_L
L_RM_PFCvl,627,36,116,252,255,PFCvl_L
L_RM_PFCoi,628,184,0,106,255,PFCoi_L
L_RM_PFCom,629,7,180,211,255,PFCom_L
L_RM_PFCpol,630,0,128,0,255,PFCpol_L
L_RM_PFCm,631,232,245,19,255,PFCm_L
L_RM_CCs,632,255,85,154,255,CCs_L
L_RM_CCa,633,58,201,73,255,CCa_L
L_RM_CCp,634,241,184,65,255,CCp_L
L_RM_CCr,635,215,89,29,255,CCr_L
L_RM_Amyg,636,191,69,0,255,Amyg_L
L_RM_HC,637,170,170,170,255,HC_L
L_RM_VACv,638,43,103,255,255,VACv_L
L_RM_VACd,639,217,120,64,255,VACd_L
L_RM_G,640,145,93,252,255,G_L
R_RM_V1,641,255,255,0,255,V1_R
R_RM_V2,642,255,37,255,255,V2_R
R_RM_Ip,643,122,242,43,255,Ip_R
R_RM_Ia,644,255,35,70,255,Ia_R
R_RM_A1,645,255,159,4,255,A1_R
R_RM_A2,646,250,34,179,255,A2_R
R_RM_TCs,647,93,70,244,255,TCs_R
R_RM_TCc,648,255,27,51,255,TCc_R
R_RM_TCi,649,156,182,73,255,TCi_R
R_RM_TCpol,650,255,249,0,255,TCpol_R
R_RM_TCv,651,93,255,97,255,TCv_R
R_RM_PHC,652,74,137,255,255,PHC_R
R_RM_S1,653,248,45,33,255,S1_R
R_RM_S2,654,56,218,220,255,S2_R
R_RM_PCi,655,229,252,41,255,PCi_R
R_RM_PCip,656,51,179,87,255,PCip_R
R_RM_PCs,657,204,0,255,255,PCs_R
R_RM_PCm,658,14,255,91,255,PCm_R
R_RM_M1,659,19,53,255,255,M1_R
R_RM_PMCm,660,255,125,12,255,PMCm_R
R_RM_PMCdl,661,220,109,185,255,PMCdl_R
R_RM_PMCvl,662,222,155,78,255,PMCvl_R
R_RM_FEF,663,255,217,71,255,FEF_R
R_RM_PFCdm,664,247,40,132,255,PFCdm_R
R_RM_PFCdl,665,80,153,219,255,PFCdl_R
R_RM_PFCcl,666,208,77,58,255,PFCcl_R
R_RM_PFCol,667,255,221,53,255,PFCol_R
R_RM_PFCvl,668,36,116,252,255,PFCvl_R
R_RM_PFCoi,669,184,0,106,255,PFCoi_R
R_RM_PFCom,670,7,180,211,255,PFCom_R
R_RM_PFCpol,671,0,128,0,255,PFCpol_R
R_RM_PFCm,672,232,245,19,255,PFCm_R
R_RM_CCs,673,255,85,154,255,CCs_R
R_RM_CCa,674,58,201,73,255,CCa_R
R_RM_CCp,675,241,184,65,255,CCp_R
R_RM_CCr,676,215,89,29,255,CCr_R
R_RM_Amyg,677,191,69,0,255,Amyg_R
R_RM_HC,678,170,170,170,255,HC_R
R_RM_VACv,679,43,103,255,255,VACv_R
R_RM_VACd,680,217,120,64,255,VACd_R
R_RM_G,684,145,93,252,255,G_R
