ROI,Label,R,G,B,alpha
L_PostCingCortex_LABEL_1,1,255,0,0,255
L_MedialPrefontrol_LABEL_2,2,178,102,255,255
L_Ant_Cing_LABEL_3,3,15,4,255,255
L_ParietoOccipitalJunction_LABEL_4,4,0,0,153,255
L_MidTemporal_LABEL_5,5,255,255,0,255
L_Ventrolateral_Prefrotal_LABEL_6,6,200,255,200,255
L_Opreculum_LABEL_7,7,200,65,210,255
L_Post_Inf_Med_Temporal_LABEL_8,8,200,65,59,255
L_Inf_Med_Temporal_LABEL_9,9,200,65,59,255
R_PostCingCortex_LABEL_10,10,0,102,153,255
R_Ant_Cing_LABEL_11,11,15,4,255,255
R_MedialPrefontrol_LABEL_12,12,102,255,102,255
R_ParietoOccipitalJunction_LABEL_13,13,50,239,50,255
R_Inf_MidTemporal_LABEL_14,14,102,0,204,255
R_Opreculum_LABEL_15,15,200,65,210,255
R_Ventrolateral_Prefrotal_LABEL_16,16,200,255,200,255
R_Orbitofrontal_LABEL_17,17,200,255,200,255
R_Inf_Med_Temporal_LABEL_18,18,0,0,255,255
L_Sup_Caudate_LABEL_19,19,0,0,0,255
R_Sup_Caudate_LABEL_20,20,102,0,204,255
L_Post_Cerebellum_LABEL_21,21,255,128,0,255
L_Inf_Post_Cerebellum_LABEL_22,22,102,255,91,255
R_Inf_Post_Cerebellum_LABEL_23,23,0,255,0,255
R_Post_Cerebellum_LABEL_24,24,255,0,150,255
L_Hippocampus_LABEL_25,25,102,52,180,255
R_Hippocampus_LABEL_26,26,233,133,10,255
L_Putamen_LABEL_27,27,71,52,180,255
R_Putamen_LABEL_28,28,45,133,10,255
L_VL_Thalamus_LABEL_29,29,71,104,0,255
R_VL_Thalamus_LABEL_30,30,60,210,10,255
