ix,name,shortname,R,G,B
1,Visual1,Vi1,0,0,1
2,Visual2,Vi2,0.392156863,0,1
3,Visual2,Vi2,0.392156863,0,1
4,Visual2,Vi2,0.392156863,0,1
5,Visual2,Vi2,0.392156863,0,1
6,Visual2,Vi2,0.392156863,0,1
7,Visual2,Vi2,0.392156863,0,1
8,Somatomotor,Smn,0,1,1
9,Somatomotor,Smn,0,1,1
10,Cingulo-Opercular,CiO,0.6,0,0.6
11,Dorsal-Attention,DoA,0,1,0
12,Language,Lan,0,0.607843137,0.607843137
13,Visual2,Vi2,0.392156863,0,1
14,Frontoparietal,FrP,1,1,0
15,Frontoparietal,FrP,1,1,0
16,Visual2,Vi2,0.392156863,0,1
17,Visual2,Vi2,0.392156863,0,1
18,Visual2,Vi2,0.392156863,0,1
19,Visual2,Vi2,0.392156863,0,1
20,Visual2,Vi2,0.392156863,0,1
21,Visual2,Vi2,0.392156863,0,1
22,Visual2,Vi2,0.392156863,0,1
23,Visual2,Vi2,0.392156863,0,1
24,Auditory,Aud,0.980392157,0.243137255,0.984313725
25,Language,Lan,0,0.607843137,0.607843137
26,Language,Lan,0,0.607843137,0.607843137
27,Posterior-Multimodal,PMm,0.694117647,0.349019608,0.156862745
28,Language,Lan,0,0.607843137,0.607843137
29,Frontoparietal,FrP,1,1,0
30,Default,Def,1,0,0
31,Default,Def,1,0,0
32,Default,Def,1,0,0
33,Default,Def,1,0,0
34,Default,Def,1,0,0
35,Default,Def,1,0,0
36,Somatomotor,Smn,0,1,1
37,Cingulo-Opercular,CiO,0.6,0,0.6
38,Cingulo-Opercular,CiO,0.6,0,0.6
39,Somatomotor,Smn,0,1,1
40,Somatomotor,Smn,0,1,1
41,Somatomotor,Smn,0,1,1
42,Somatomotor,Smn,0,1,1
43,Cingulo-Opercular,CiO,0.6,0,0.6
44,Cingulo-Opercular,CiO,0.6,0,0.6
45,Cingulo-Opercular,CiO,0.6,0,0.6
46,Dorsal-Attention,DoA,0,1,0
47,Somatomotor,Smn,0,1,1
48,Visual2,Vi2,0.392156863,0,1
49,Visual2,Vi2,0.392156863,0,1
50,Dorsal-Attention,DoA,0,1,0
51,Somatomotor,Smn,0,1,1
52,Somatomotor,Smn,0,1,1
53,Somatomotor,Smn,0,1,1
