ix,name,shortname,R,G,B
1,visual           ,Vis,0,0,1
2,visual           ,Vis,0,0,1
3,insular-opercular,InO,0.502,0,0.502
4,insular-opercular,InO,0.502,0,0.502
5,auditory         ,Aud,1,0,1
6,auditory         ,Aud,1,0,1
7,default mode     ,Def,1,0,0
8,default mode     ,Def,1,0,0
9,limbic           ,Lmb,1,0.502,0
10,limbic           ,Lmb,1,0.502,0
11,default mode     ,Def,1,0,0
12,default mode     ,Def,1,0,0
13,somatomotor      ,SoM,0,1,1
14,somatomotor      ,SoM,0,1,1
15,dorsal attention ,DoA,0,0.863,0
16,dorsal attention ,DoA,0,0.863,0
17,somatomotor      ,SoM,0,1,1
18,dorsal attention ,DoA,0,0.863,0
19,somatomotor      ,SoM,0,1,1
20,somatomotor      ,SoM,0,1,1
21,dorsal attention ,DoA,0,0.863,0
22,insular-opercular,InO,0.502,0,0.502
23,dorsal attention ,DoA,0,0.863,0
24,default mode     ,Def,1,0,0
25,default mode     ,Def,1,0,0
26,default mode     ,Def,1,0,0
27,limbic           ,Lmb,1,0.502,0
28,limbic           ,Lmb,1,0.502,0
29,limbic           ,Lmb,1,0.502,0
30,default mode     ,Def,1,0,0
31,default mode     ,Def,1,0,0
32,default mode     ,Def,1,0,0
33,default mode     ,Def,1,0,0
34,somatomotor      ,SoM,0,1,1
35,default mode     ,Def,1,0,0
36,default mode     ,Def,1,0,0
37,limbic           ,Lmb,1,0.502,0
38,limbic           ,Lmb,1,0.502,0
39,visual           ,Vis,0,0,1
40,visual           ,Vis,0,0,1
41,insular-opercular,InO,0.502,0,0.502
42,visual           ,Vis,0,0,1
43,visual           ,Vis,0,0,1
44,somatomotor      ,SoM,0,1,1
45,insular-opercular,InO,0.502,0,0.502
46,auditory         ,Aud,1,0,1
47,auditory         ,Aud,1,0,1
48,default mode     ,Def,1,0,0
49,default mode     ,Def,1,0,0
50,limbic           ,Lmb,1,0.502,0
51,limbic           ,Lmb,1,0.502,0
52,default mode     ,Def,1,0,0
53,default mode     ,Def,1,0,0
54,somatomotor      ,SoM,0,1,1
55,somatomotor      ,SoM,0,1,1
56,dorsal attention ,DoA,0,0.863,0
57,dorsal attention ,DoA,0,0.863,0
58,somatomotor      ,SoM,0,1,1
59,dorsal attention ,DoA,0,0.863,0
60,somatomotor      ,SoM,0,1,1
61,somatomotor      ,SoM,0,1,1
62,dorsal attention ,DoA,0,0.863,0
63,insular-opercular,InO,0.502,0,0.502
64,dorsal attention ,DoA,0,0.863,0
65,default mode     ,Def,1,0,0
66,default mode     ,Def,1,0,0
67,default mode     ,Def,1,0,0
68,limbic           ,Lmb,1,0.502,0
69,limbic           ,Lmb,1,0.502,0
70,limbic           ,Lmb,1,0.502,0
71,default mode     ,Def,1,0,0
72,default mode     ,Def,1,0,0
73,default mode     ,Def,1,0,0
74,default mode     ,Def,1,0,0
75,somatomotor      ,SoM,0,1,1
76,default mode     ,Def,1,0,0
77,default mode     ,Def,1,0,0
78,limbic           ,Lmb,1,0.502,0
79,limbic           ,Lmb,1,0.502,0
80,visual           ,Vis,0,0,1
81,visual           ,Vis,0,0,1
82,insular-opercular,InO,0.502,0,0.502
