ix,name,shortname,R,G,B
1,Def               ,Def,1,0,0
2,Sml               ,Sml,0,1,1
3,SMm               ,SMm,1,0.502,0
4,Def               ,Def,1,0,0
5,Vis               ,Vis,0,0,1
6,Def               ,Def,1,0,0
7,FrP               ,FrP,0.9,0.6,0
8,Vis               ,Vis,0,0,1
9,FrP               ,FrP,0.9,0.6,0
10,Aud               ,Aud,1,0,1
11,non               ,non,0.502,0.502,0.502
12,CiP               ,CiP,0,0.427,1
13,ReT               ,ReT,0.863,0.863,0.863
14,ReT               ,ReT,0.863,0.863,0.863
15,Vis               ,Vis,0,0,1
16,Vis               ,Vis,0,0,1
17,Vis               ,Vis,0,0,1
18,non               ,non,0.502,0.502,0.502
19,non               ,non,0.502,0.502,0.502
20,Vis               ,Vis,0,0,1
21,CiO               ,CiO,0.502,0,0.502
22,CiO               ,CiO,0.502,0,0.502
23,VeA               ,VeA,0,0.502,0.502
24,FrP               ,FrP,0.9,0.6,0
25,Def               ,Def,1,0,0
26,Def               ,Def,1,0,0
27,CiO               ,CiO,0.502,0,0.502
28,CiO               ,CiO,0.502,0,0.502
29,Sal               ,Sal,0,0,0
30,Sml               ,Sml,0,1,1
31,Sml               ,Sml,0,1,1
32,Sml               ,Sml,0,1,1
33,Sml               ,Sml,0,1,1
34,CiO               ,CiO,0.502,0,0.502
35,Sml               ,Sml,0,1,1
36,Sml               ,Sml,0,1,1
37,Sml               ,Sml,0,1,1
38,Sml               ,Sml,0,1,1
39,SMm               ,SMm,1,0.502,0
40,CiO               ,CiO,0.502,0,0.502
41,DoA               ,DoA,0,0.863,0
42,DoA               ,DoA,0,0.863,0
43,DoA               ,DoA,0,0.863,0
44,Def               ,Def,1,0,0
45,Sml               ,Sml,0,1,1
46,Sml               ,Sml,0,1,1
47,Sml               ,Sml,0,1,1
48,Sml               ,Sml,0,1,1
49,DoA               ,DoA,0,0.863,0
50,Sml               ,Sml,0,1,1
51,DoA               ,DoA,0,0.863,0
52,DoA               ,DoA,0,0.863,0
53,SMm               ,SMm,1,0.502,0
54,Sml               ,Sml,0,1,1
55,DoA               ,DoA,0,0.863,0
56,Sml               ,Sml,0,1,1
57,Sml               ,Sml,0,1,1
58,Sml               ,Sml,0,1,1
59,SMm               ,SMm,1,0.502,0
60,VeA               ,VeA,0,0.502,0.502
61,VeA               ,VeA,0,0.502,0.502
62,VeA               ,VeA,0,0.502,0.502
63,CiO               ,CiO,0.502,0,0.502
