id,consecutive_number,age,Diet
fake_id_01,1,1M,BF
fake_id_01,2,3M,BF
fake_id_01,3,5M,BF
fake_id_01,4,7M,BF
fake_id_01,5,9M,BF
fake_id_02,6,1M,UF
fake_id_02,7,3M,UF
fake_id_02,8,5M,UF
fake_id_02,9,7M,UF
fake_id_02,10,9M,UF
fake_id_03,11,1M,SF
fake_id_03,12,3M,SF
fake_id_03,13,5M,SF
fake_id_03,14,7M,SF
fake_id_03,15,9M,SF
fake_id_04,16,1M,XF
fake_id_04,17,3M,XF
fake_id_04,18,5M,XF
fake_id_04,19,7M,XF
fake_id_04,20,9M,XF
fake_id_05,21,1M,BF
fake_id_05,22,3M,BF
fake_id_05,23,5M,BF
fake_id_05,24,7M,BF
fake_id_05,25,9M,BF
fake_id_06,26,1M,UF
fake_id_06,27,3M,UF
fake_id_06,28,5M,UF
fake_id_06,29,7M,UF
fake_id_06,30,9M,UF
fake_id_07,31,1M,SF
fake_id_07,32,3M,SF
fake_id_07,33,5M,SF
fake_id_07,34,7M,SF
fake_id_07,35,9M,SF
fake_id_08,36,1M,XF
fake_id_08,37,3M,XF
fake_id_08,38,5M,XF
fake_id_08,39,7M,XF
fake_id_08,40,9M,XF
fake_id_09,41,1M,BF
fake_id_09,42,3M,BF
fake_id_09,43,5M,BF
fake_id_09,44,7M,BF
fake_id_09,45,9M,BF
fake_id_10,46,1M,UF
fake_id_10,47,3M,UF
fake_id_10,48,5M,UF
fake_id_10,49,7M,UF
fake_id_10,50,9M,UF
fake_id_11,51,1M,SF
fake_id_11,52,3M,SF
fake_id_11,53,5M,SF
fake_id_11,54,7M,SF
fake_id_11,55,9M,SF
fake_id_12,56,1M,XF
fake_id_12,57,3M,XF
fake_id_12,58,5M,XF
fake_id_12,59,7M,XF
fake_id_12,60,9M,XF
