Networks_1,Networks_2,Difference,StdErr,pValue,Lower,Upper
Lmb and Lmb,Lmb and Vis,0.0178579556727573,0.000981852139497502,1.28723076975312e-06,0.0138273699073791,0.0218885414381355
Lmb and Vis,Lmb and Lmb,-0.0178579556727573,0.000981852139497502,1.28723076975312e-06,-0.0218885414381355,-0.0138273699073791
Lmb and Lmb,Lmb and SoM,0.0153083704053867,0.00107789690234202,8.82389517509186e-06,0.0108835127956162,0.0197332280151573
Lmb and SoM,Lmb and Lmb,-0.0153083704053867,0.00107789690234202,8.82389517509186e-06,-0.0197332280151573,-0.0108835127956162
Lmb and Lmb,SoM and Vis,0.0203883586880765,0.00170526826091381,3.30681609972405e-05,0.013388088787857,0.0273886285882959
SoM and Vis,Lmb and Lmb,-0.0203883586880765,0.00170526826091381,3.30681609972405e-05,-0.0273886285882959,-0.013388088787857
SoM and Vis,Vis and Vis,-0.0151123651990476,0.00150885519139465,0.000125824900563121,-0.0213063428987496,-0.0089183874993455
Vis and Vis,SoM and Vis,0.0151123651990476,0.00150885519139465,0.000125824900563121,0.0089183874993455,0.0213063428987496
Lmb and Vis,SoM and SoM,-0.011325109493263,0.00128997906017191,0.000333456286481848,-0.0166205822313739,-0.00602963675515215
SoM and SoM,Lmb and Vis,0.011325109493263,0.00128997906017191,0.000333456286481848,0.00602963675515215,0.0166205822313739
SoM and SoM,SoM and Vis,0.0138555125085821,0.00164387902931146,0.000448961190617436,0.0071072505768645,0.0206037744402998
SoM and Vis,SoM and SoM,-0.0138555125085821,0.00164387902931146,0.000448961190617436,-0.0206037744402998,-0.0071072505768645
Lmb and Vis,Vis and Vis,-0.0125819621837284,0.001660729112095,0.000966693694722798,-0.0193993951250927,-0.00576452924236414
Vis and Vis,Lmb and Vis,0.0125819621837284,0.001660729112095,0.000966693694722798,0.00576452924236414,0.0193993951250927
Lmb and SoM,Vis and Vis,-0.0100323769163578,0.00142579000309052,0.00162823037710225,-0.0158853650188396,-0.00417938881387602
Vis and Vis,Lmb and SoM,0.0100323769163578,0.00142579000309052,0.00162823037710225,0.00417938881387602,0.0158853650188396
Lmb and SoM,SoM and SoM,-0.00877552422589241,0.00156155667104913,0.00745374739585303,-0.0151858459403037,-0.00236520251148114
SoM and SoM,Lmb and SoM,0.00877552422589241,0.00156155667104913,0.00745374739585303,0.00236520251148114,0.0151858459403037
Lmb and SoM,SoM and Vis,0.00507998828268973,0.00106774050259732,0.0212516562489714,0.000696823549668856,0.00946315301571061
SoM and Vis,Lmb and SoM,-0.00507998828268973,0.00106774050259732,0.0212516562489714,-0.00946315301571061,-0.000696823549668856
Lmb and SoM,Lmb and Vis,0.00254958526737061,0.000598136565518897,0.0404921723664833,9.4184265783435e-05,0.00500498626895778
Lmb and Vis,Lmb and SoM,-0.00254958526737061,0.000598136565518897,0.0404921723664833,-0.00500498626895778,-9.4184265783435e-05
Lmb and Lmb,SoM and SoM,0.0065328461794943,0.00161890192204814,0.0549386168568488,-0.000112882622288531,0.0131785749812771
SoM and SoM,Lmb and Lmb,-0.0065328461794943,0.00161890192204814,0.0549386168568488,-0.0131785749812771,0.000112882622288531
Lmb and Lmb,Vis and Vis,0.00527599348902889,0.00137917547831605,0.0731343428133636,-0.000385638061424614,0.0109376250394824
Vis and Vis,Lmb and Lmb,-0.00527599348902889,0.00137917547831605,0.0731343428133636,-0.0109376250394824,0.000385638061424614
Lmb and Vis,SoM and Vis,0.00253040301531913,0.00120294833617541,0.655410839957733,-0.00240780126741068,0.00746860729804893
SoM and Vis,Lmb and Vis,-0.00253040301531913,0.00120294833617541,0.655410839957733,-0.00746860729804893,0.00240780126741068
SoM and SoM,Vis and Vis,-0.00125685269046541,0.00244141281681414,0.999999514327283,-0.0112790580216053,0.0087653526406745
Vis and Vis,SoM and SoM,0.00125685269046541,0.00244141281681414,0.999999514327283,-0.0087653526406745,0.0112790580216053
