Networks,Diet_1,Diet_2,Difference,StdErr,pValue,Lower,Upper
Lmb and Vis,BF,XF,0.00534785177024558,0.00167877703955253,0.0748851272778215,-0.000468114573119834,0.011163818113611
Lmb and Vis,XF,BF,-0.00534785177024558,0.00167877703955253,0.0748851272778221,-0.011163818113611,0.000468114573119836
SoM and SoM,XF,BF,-0.0109589655775873,0.00383129631194337,0.120317316441985,-0.0242321340071853,0.00231420285201076
SoM and SoM,BF,XF,0.0109589655775873,0.00383129631194337,0.120317316441986,-0.00231420285201077,0.0242321340071853
SoM and SoM,SF,XF,0.00905265573916544,0.00383129631194337,0.244985600942109,-0.00422051269043258,0.0223258241687635
SoM and SoM,XF,SF,-0.00905265573916544,0.00383129631194337,0.244985600942109,-0.0223258241687635,0.00422051269043258
Lmb and Vis,XF,SF,-0.00337937156757307,0.00167877703955253,0.389325274378902,-0.00919533791093848,0.00243659477579235
Lmb and Vis,SF,XF,0.00337937156757306,0.00167877703955253,0.389325274378903,-0.00243659477579235,0.00919533791093848
Lmb and Vis,BF,UF,0.00295759667201321,0.00167877703955253,0.523224849575159,-0.00285836967135221,0.00877356301537862
Lmb and Vis,UF,BF,-0.00295759667201321,0.00167877703955253,0.523224849575159,-0.00877356301537862,0.00285836967135221
SoM and SoM,UF,XF,0.00639057303307479,0.00383129631194337,0.57782720481157,-0.00688259539652323,0.0196637414626728
SoM and SoM,XF,UF,-0.00639057303307479,0.00383129631194337,0.57782720481157,-0.0196637414626728,0.00688259539652323
Lmb and Vis,UF,XF,0.00239025509823237,0.00167877703955253,0.722376604031816,-0.00342571124513304,0.00820622144159778
Lmb and Vis,XF,UF,-0.00239025509823237,0.00167877703955253,0.722376604031816,-0.00820622144159778,0.00342571124513304
Lmb and SoM,BF,XF,-0.00215395260018943,0.0015944489843068,0.763642906992342,-0.00767777226799551,0.00336986706761666
Lmb and SoM,XF,BF,0.00215395260018943,0.0015944489843068,0.763642906992342,-0.00336986706761666,0.00767777226799551
SoM and SoM,BF,UF,0.00456839254451247,0.00383129631194337,0.845243936583911,-0.00870477588508555,0.0178415609741105
SoM and SoM,UF,BF,-0.00456839254451247,0.00383129631194337,0.845243936583911,-0.0178415609741105,0.00870477588508555
Lmb and Vis,BF,SF,0.00196848020267252,0.00167877703955253,0.854418244370246,-0.0038474861406929,0.00778444654603793
Lmb and Vis,SF,BF,-0.00196848020267252,0.00167877703955253,0.854418244370246,-0.00778444654603793,0.0038474861406929
SoM and Vis,SF,XF,0.00434623324506124,0.00373919680052207,0.859047163869152,-0.00860786502450563,0.0173003315146281
SoM and Vis,XF,SF,-0.00434623324506124,0.00373919680052207,0.859047163869152,-0.0173003315146281,0.00860786502450563
Vis and Vis,BF,UF,-0.00575032799859935,0.00551762230679196,0.907743347103409,-0.0248656154225075,0.0133649594253088
Vis and Vis,UF,BF,0.00575032799859935,0.00551762230679196,0.907743347103409,-0.0133649594253088,0.0248656154225075
Lmb and Lmb,BF,UF,0.00389236793141652,0.00374195128977496,0.90845201484537,-0.00907127300904143,0.0168560088718745
Lmb and Lmb,UF,BF,-0.00389236793141652,0.00374195128977496,0.90845201484537,-0.0168560088718745,0.00907127300904143
Lmb and SoM,BF,SF,-0.00164856194911077,0.0015944489843068,0.910674393303043,-0.00717238161691685,0.00387525771869531
Lmb and SoM,SF,BF,0.00164856194911077,0.0015944489843068,0.910674393303043,-0.00387525771869531,0.00717238161691685
Lmb and Lmb,SF,UF,0.0035808524707277,0.00374195128977496,0.935433317983632,-0.00938278846973024,0.0165444934111857
Lmb and Lmb,UF,SF,-0.0035808524707277,0.00374195128977496,0.935433317983632,-0.0165444934111857,0.00938278846973024
Lmb and SoM,UF,XF,-0.00144744577746355,0.0015944489843068,0.948736600222001,-0.00697126544526963,0.00407637389034254
Lmb and SoM,XF,UF,0.00144744577746355,0.0015944489843068,0.948736600222001,-0.00407637389034254,0.00697126544526963
Lmb and Lmb,XF,BF,-0.00330937166852922,0.00374195128977496,0.95439708200683,-0.0162730126089872,0.00965426927192872
Lmb and Lmb,BF,XF,0.00330937166852922,0.00374195128977496,0.95439708200683,-0.00965426927192873,0.0162730126089872
SoM and Vis,UF,XF,0.0032640836692375,0.00373919680052207,0.957012626029919,-0.00969001460032937,0.0162181819388044
SoM and Vis,XF,UF,-0.0032640836692375,0.00373919680052207,0.957012626029919,-0.0162181819388044,0.00969001460032937
