Networks,age_1,age_2,Difference,StdErr,pValue,Lower,Upper
SoM and SoM,3M,9M,0.0108140235560936,0.0036423970933799,0.165251722039317,-0.00308664380714337,0.0247146909193305
SoM and SoM,9M,3M,-0.0108140235560936,0.0036423970933799,0.165251722039317,-0.0247146909193305,0.00308664380714337
Lmb and Vis,5M,9M,0.00563231880021051,0.0021020530140408,0.246845007234358,-0.00238985423006628,0.0136544918304873
Lmb and Vis,9M,5M,-0.00563231880021051,0.0021020530140408,0.246845007234358,-0.0136544918304873,0.00238985423006628
SoM and SoM,3M,5M,0.00674500647947493,0.00269543056312649,0.312706406487335,-0.00354170380997232,0.0170317167689222
SoM and SoM,5M,3M,-0.00674500647947493,0.00269543056312649,0.312706406487335,-0.0170317167689222,0.00354170380997232
Lmb and SoM,3M,5M,-0.0036368259664584,0.00168149923724788,0.475603557588403,-0.0100540179884381,0.00278036605552127
Lmb and SoM,5M,3M,0.0036368259664584,0.00168149923724788,0.475603557588403,-0.00278036605552127,0.0100540179884381
SoM and Vis,3M,7M,0.00654218637301669,0.00329857405220458,0.577828482765929,-0.00604633143467588,0.0191307041807092
SoM and Vis,7M,3M,-0.00654218637301669,0.00329857405220458,0.577828482765929,-0.0191307041807092,0.00604633143467588
Lmb and SoM,1M,5M,-0.00420805928430213,0.00219676341237947,0.617965113853151,-0.0125916804789041,0.00417556191029985
Lmb and SoM,5M,1M,0.00420805928430213,0.00219676341237947,0.617965113853151,-0.00417556191029985,0.0125916804789041
Lmb and SoM,3M,9M,-0.00252462207766734,0.0013339785242585,0.631670590176229,-0.00761555292897994,0.00256630877364527
Lmb and SoM,9M,3M,0.00252462207766734,0.0013339785242585,0.631670590176229,-0.00256630877364527,0.00761555292897994
Vis and Vis,3M,5M,0.00752430768868475,0.00437423877618469,0.733047903775081,-0.00916932472872235,0.0242179401060919
Vis and Vis,5M,3M,-0.00752430768868475,0.00437423877618469,0.733047903775081,-0.0242179401060919,0.00916932472872235
SoM and SoM,3M,7M,0.00668602788867952,0.00414870818038245,0.792974815552512,-0.00914690051647763,0.0225189562938367
