Networks_age,Diet_1,Diet_2,Difference,StdErr,pValue,Lower,Upper
Lmb and SoM 3M,BF,XF,-0.0153646426323808,0.00303860772285446,0.00587356943579409,-0.0258916154408261,-0.00483766982393549
Lmb and SoM 3M,XF,BF,0.0153646426323808,0.00303860772285446,0.00587356943579409,0.00483766982393549,0.0258916154408261
Lmb and SoM 9M,BF,XF,0.00767892922626939,0.0022020171775755,0.0483858387533971,5.02462680456849e-05,0.0153076121844931
Lmb and SoM 9M,XF,BF,-0.00767892922626939,0.0022020171775755,0.0483858387533977,-0.0153076121844931,-5.02462680456841e-05
Lmb and SoM 3M,BF,UF,-0.0105708580178758,0.00303860772285446,0.0489719476868947,-0.021097830826321,-4.3885209430463e-05
Lmb and SoM 3M,UF,BF,0.0105708580178758,0.00303860772285446,0.0489719476868947,4.3885209430463e-05,0.021097830826321
Lmb and Vis 9M,UF,XF,0.0260123825330837,0.00837907823125753,0.0842826232041933,-0.00301615183048429,0.0550409168966518
Lmb and Vis 9M,XF,UF,-0.0260123825330837,0.00837907823125753,0.0842826232041933,-0.0550409168966518,0.00301615183048429
Lmb and SoM 3M,BF,SF,-0.00871747292390478,0.00303860772285446,0.11883340298051,-0.0192444457323501,0.00180949988454051
Lmb and SoM 3M,SF,BF,0.00871747292390478,0.00303860772285446,0.11883340298051,-0.00180949988454051,0.0192444457323501
Lmb and SoM 9M,UF,XF,0.00588591629129734,0.0022020171775755,0.157877715315641,-0.00174276666692636,0.0135145992495211
Lmb and SoM 9M,XF,UF,-0.00588591629129734,0.0022020171775755,0.157877715315641,-0.0135145992495211,0.00174276666692636
Lmb and Vis 9M,BF,XF,0.0220021993890583,0.00837907823125754,0.168949483328635,-0.00702633497450972,0.0510307337526263
Lmb and Vis 9M,XF,BF,-0.0220021993890583,0.00837907823125754,0.168949483328635,-0.0510307337526263,0.00702633497450973
SoM and Vis 3M,BF,UF,-0.00947570099120391,0.00369905674199027,0.185205747372341,-0.022290737774974,0.00333933579256618
SoM and Vis 3M,UF,BF,0.00947570099120391,0.00369905674199027,0.185205747372341,-0.00333933579256618,0.022290737774974
SoM and Vis 3M,UF,XF,0.00928724744861184,0.00369905674199027,0.199119710102327,-0.00352778933515825,0.0221022842323819
SoM and Vis 3M,XF,UF,-0.00928724744861184,0.00369905674199027,0.199119710102327,-0.0221022842323819,0.00352778933515825
SoM and SoM 5M,BF,XF,0.0116483782979897,0.00520425399197126,0.29042654413648,-0.00638127385146881,0.0296780304474483
SoM and SoM 5M,XF,BF,-0.0116483782979897,0.00520425399197126,0.29042654413648,-0.0296780304474483,0.00638127385146881
Lmb and SoM 3M,SF,XF,-0.006647169708476,0.00303860772285446,0.310783220676367,-0.0171741425169213,0.00387980309996929
Lmb and SoM 3M,XF,SF,0.006647169708476,0.00303860772285446,0.310783220676367,-0.00387980309996929,0.0171741425169213
Vis and Vis 7M,BF,XF,0.0320047144374946,0.0147898333205426,0.320641839262279,-0.0192332825029376,0.0832427113779267
Vis and Vis 7M,XF,BF,-0.0320047144374946,0.0147898333205426,0.320641839262279,-0.0832427113779267,0.0192332825029376
Vis and Vis 1M,BF,XF,-0.0401397755237297,0.0187033023055133,0.3282495394454,-0.104935620448824,0.0246560694013644
Vis and Vis 1M,XF,BF,0.0401397755237297,0.0187033023055133,0.3282495394454,-0.0246560694013644,0.104935620448824
Lmb and SoM 9M,SF,XF,0.00462699214501748,0.0022020171775755,0.347999109334514,-0.00300169081320623,0.0122556751032412
Lmb and SoM 9M,XF,SF,-0.00462699214501748,0.0022020171775755,0.347999109334515,-0.0122556751032412,0.00300169081320623
Lmb and SoM 5M,BF,XF,-0.00744836121507312,0.00372307174411835,0.395390664090158,-0.020346595731968,0.00544987330182179
Lmb and SoM 5M,XF,BF,0.00744836121507312,0.00372307174411835,0.395390664090158,-0.00544987330182179,0.020346595731968
SoM and SoM 3M,BF,XF,0.0148035150301649,0.00765150339783173,0.42863768192688,-0.0117044042405186,0.0413114343008483
SoM and SoM 3M,XF,BF,-0.0148035150301649,0.00765150339783173,0.42863768192688,-0.0413114343008483,0.0117044042405186
Lmb and Vis 9M,SF,XF,0.0160200936417777,0.00837907823125753,0.440534103730451,-0.0130084407217904,0.0450486280053457
Lmb and Vis 9M,XF,SF,-0.0160200936417777,0.00837907823125753,0.440534103730451,-0.0450486280053457,0.0130084407217904
Vis and Vis 7M,UF,XF,0.0279735605490614,0.0147898333205426,0.451396584309023,-0.0232644363913708,0.0792115574894935
Vis and Vis 7M,XF,UF,-0.0279735605490614,0.0147898333205426,0.451396584309023,-0.0792115574894935,0.0232644363913708
Lmb and Lmb 9M,UF,XF,0.0115679763256148,0.00626299934690626,0.475393482948749,-0.0101296002744531,0.0332655529256828
Lmb and Lmb 9M,XF,UF,-0.0115679763256148,0.00626299934690626,0.475393482948749,-0.0332655529256828,0.0101296002744531
Vis and Vis 7M,SF,XF,0.026245027286033,0.0147898333205426,0.51593164013231,-0.0249929696543991,0.0774830242264651
Vis and Vis 7M,XF,SF,-0.026245027286033,0.0147898333205426,0.51593164013231,-0.0774830242264651,0.0249929696543991
Lmb and Vis 7M,BF,XF,0.00894397728685479,0.00506984726985024,0.521854703329548,-0.00862003532038899,0.0265079898940986
Lmb and Vis 7M,XF,BF,-0.00894397728685479,0.00506984726985024,0.521854703329548,-0.0265079898940986,0.00862003532038899
Lmb and Lmb 9M,BF,XF,0.0109938284451459,0.00626299934690626,0.526890933987331,-0.010703748154922,0.0326914050452139
Lmb and Lmb 9M,XF,BF,-0.0109938284451459,0.00626299934690626,0.526890933987331,-0.0326914050452139,0.010703748154922
Vis and Vis 9M,XF,SF,0.0105934602701141,0.00604302444638961,0.528243567646725,-0.0103420338212897,0.0315289543615179
Vis and Vis 9M,SF,XF,-0.0105934602701141,0.00604302444638961,0.528243567646725,-0.0315289543615179,0.0103420338212897
Vis and Vis 3M,BF,UF,0.0107459662055061,0.00625881795676707,0.54911610851211,-0.0109371243587483,0.0324290567697604
Vis and Vis 3M,UF,BF,-0.0107459662055061,0.00625881795676707,0.54911610851211,-0.0324290567697604,0.0109371243587483
SoM and Vis 1M,BF,SF,-0.016976690111219,0.00989635500365753,0.549980233542937,-0.0512616882182991,0.0173083079958612
SoM and Vis 1M,SF,BF,0.016976690111219,0.00989635500365753,0.549980233542937,-0.0173083079958612,0.0512616882182991
SoM and Vis 7M,BF,XF,0.0162433052572838,0.00951233202569911,0.554556358978153,-0.0167112810903644,0.0491978916049319
SoM and Vis 7M,XF,BF,-0.0162433052572838,0.00951233202569911,0.554556358978153,-0.0491978916049319,0.0167112810903644
SoM and SoM 9M,SF,UF,0.0194138175803608,0.011591773835478,0.573815133869146,-0.0207448008059221,0.0595724359666436
SoM and SoM 9M,UF,SF,-0.0194138175803608,0.011591773835478,0.573815133869146,-0.0595724359666436,0.0207448008059221
Vis and Vis 9M,SF,UF,-0.00983637419393893,0.00604302444638961,0.601697732519977,-0.0307718682853427,0.0110991198974649
Vis and Vis 9M,UF,SF,0.00983637419393893,0.00604302444638961,0.601697732519977,-0.0110991198974649,0.0307718682853427
Lmb and SoM 3M,UF,XF,-0.00479378461450502,0.00303860772285446,0.631560047291246,-0.0153207574229503,0.00573318819394027
Lmb and SoM 3M,XF,UF,0.00479378461450502,0.00303860772285446,0.631560047291246,-0.00573318819394027,0.0153207574229503
Vis and Vis 1M,BF,UF,-0.0294115653286842,0.0187033023055133,0.634598888171149,-0.0942074102537783,0.0353842795964099
Vis and Vis 1M,UF,BF,0.0294115653286842,0.0187033023055133,0.634598888171149,-0.0353842795964099,0.0942074102537783
SoM and SoM 7M,BF,XF,0.0162494889839176,0.0105288812560344,0.652020199726856,-0.0202268372795803,0.0527258152474155
SoM and SoM 7M,XF,BF,-0.0162494889839176,0.0105288812560344,0.652020199726856,-0.0527258152474155,0.0202268372795803
