Row,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
Intercept,1.17140707359041,1,1.17140707359041,66.8133815367664,3.73919782058108e-05,3.73919782058108e-05,3.73919782058108e-05,3.73919782058108e-05
Diet,0.0454641368626945,3,0.0151547122875648,0.864377206674636,0.498048932933101,0.498048932933101,0.498048932933101,0.498048932933101
Error,0.140260175030453,8,0.0175325218788067,NaN,NaN,NaN,NaN,NaN
Intercept and Networks,2.54944254201516,5,0.509888508403032,114.628295844512,1.30475111521932e-22,3.25284177585394e-13,1.38126714020615e-19,5.08762439812424e-06
Diet and Networks,0.117606938561805,15,0.00784046257078698,1.76261839266948,0.0768988595797177,0.139026939572757,0.0924909738038642,0.231808834484233
Error Networks,0.17792762411636,40,0.00444819060290901,NaN,NaN,NaN,NaN,NaN
Intercept and age,0.0391358335342842,4,0.00978395838357104,0.518235701906011,0.722875630734222,0.608688285232605,0.658829231165707,0.492088397836276
Diet and age,0.26259381323092,12,0.0218828177692433,1.159086842128,0.351637780121797,0.374424132872987,0.366133501083028,0.383425366151303
Error age,0.604139520150342,32,0.0188793600046982,NaN,NaN,NaN,NaN,NaN
Intercept and conn,10.80903001317,594,0.018197020224192,3.5351015929965,7.50227750703788e-128,0.00243875182139564,1.26233913500254e-32,0.0968777171315511
Diet and conn,9.71198107548353,1782,0.00545004549690434,1.0587702975895,0.0713513257415862,0.414321437610346,0.232698168046443,0.418712821302676
Error conn,24.461033956329,4752,0.00514752398070896,NaN,NaN,NaN,NaN,NaN
Intercept and Networks and age,0.136279756887719,20,0.00681398784438594,0.970535754972498,0.500469515370769,0.453000742622499,0.500469515370769,0.353400126653595
Diet and Networks and age,0.432849561100274,60,0.00721415935167123,1.02753332597075,0.436717963250886,0.448939270224383,0.436717963250886,0.430447069458176
Error Networks and age,1.12333631143001,160,0.00702085194643759,NaN,NaN,NaN,NaN,NaN
Intercept and age and conn,12.6117879509096,2376,0.00530799156183065,0.989617079548538,0.629571465729254,0.451824545800385,0.543509603238841,0.348969073567305
Diet and age and conn,38.767312316985,7128,0.00543873629587332,1.01399300787519,0.238488347537187,0.463167746446473,0.38984724928671,0.435648816610545
Error age and conn,101.952872168804,19008,0.00536368224793791,NaN,NaN,NaN,NaN,NaN
