id,consecutive_number,age,Diet
fake_id_01,1,4m,BF
fake_id_01,2,6m,BF
fake_id_01,3,2m,BF
fake_id_02,4,2m,BF
fake_id_02,5,4m,BF
fake_id_02,6,6m,BF
fake_id_03,7,2m,UF
fake_id_03,8,4m,UF
fake_id_03,9,6m,UF
fake_id_04,10,2m,SF
fake_id_04,11,4m,SF
fake_id_04,12,6m,SF
fake_id_05,13,2m,BF
fake_id_05,14,4m,BF
fake_id_05,15,6m,BF
fake_id_06,16,2m,BF
fake_id_06,17,4m,BF
fake_id_06,18,6m,BF
fake_id_07,19,2m,SF
fake_id_07,20,4m,SF
fake_id_07,21,6m,SF
fake_id_08,22,2m,BF
fake_id_08,23,4m,BF
fake_id_08,24,6m,BF
fake_id_09,25,2m,SF
fake_id_09,26,4m,SF
fake_id_09,27,6m,SF
fake_id_10,28,2m,UF
fake_id_10,29,4m,UF
fake_id_10,30,6m,UF
fake_id_11,31,2m,SF
fake_id_11,32,4m,SF
fake_id_11,33,6m,SF
fake_id_12,34,2m,BF
fake_id_12,35,4m,BF
fake_id_12,36,6m,BF
fake_id_13,37,2m,UF
fake_id_13,38,4m,UF
fake_id_13,39,6m,UF
fake_id_14,40,2m,SF
fake_id_14,41,4m,SF
fake_id_14,42,6m,SF
fake_id_15,43,2m,BF
fake_id_15,44,4m,BF
fake_id_15,45,6m,BF
fake_id_16,46,2m,BF
fake_id_16,47,4m,BF
fake_id_16,48,6m,BF
fake_id_17,49,2m,SF
fake_id_17,50,4m,SF
fake_id_17,51,6m,SF
fake_id_18,52,2m,UF
fake_id_18,53,4m,UF
fake_id_18,54,6m,UF
fake_id_19,55,2m,SF
fake_id_19,56,4m,SF
fake_id_19,57,6m,SF
fake_id_20,58,2m,SF
fake_id_20,59,4m,SF
fake_id_20,60,6m,SF
fake_id_21,61,2m,UF
fake_id_21,62,4m,UF
fake_id_21,63,6m,UF
