Row,R,exp_variance
CiO and FPn,0.186031257795553,3.46076288769956
FPn and FPn,0.140586810920575,1.97646514048174
CiO and CiO,0.125767736954453,1.58175236586445
FPn and OrA,0.117868968881161,1.38930938251082
CiO and VMm,0.102952799275377,1.05992788786361
Def and VMm,0.101768941671313,1.03569174888991
Def and FPn,0.0986437164682747,0.973058279867337
FPn and Sub,0.0984985654863991,0.970196740287844
Def and Smn,0.0868349158971646,0.754030261886764
CiO and Sub,0.084405657600399,0.712431503495579
CiO and Vi1,0.0782700680700047,0.612620355568317
Def and Lan,0.0775593541207662,0.601545341163041
FPn and VMm,0.0761819743333226,0.580369321332302
DAn and VMm,0.0738206266842669,0.54494849240579
FPn and PMm,0.070490840755845,0.49689586304659
VMm and Vi1,0.0698340820486041,0.487679901557116
DAn and Sub,0.0689604134685048,0.475553862574714
CiO and Def,0.0639573635113318,0.409054434732064
CiO and DAn,0.0621828511325997,0.386670697497906
DAn and DAn,0.0601677994017947,0.36201640848546
Aud and Sub,0.0586837110234482,0.344377793948357
FPn and Lan,0.0561185321841654,0.314928965450521
DAn and FPn,0.0532310166716023,0.28335411358924
Sub and Vi1,0.0530015053664173,0.280915957110636
Lan and VMm,0.0511768883823263,0.261907390449709
Smn and Vi1,0.0509452613039499,0.259541964932774
Aud and Aud,0.0500743101622193,0.250743653822214
DAn and Lan,0.0496757322020154,0.246767836980635
Sub and Vi2,0.0467246041975464,0.218318863741737
Def and Def,0.045213676520019,0.204427654445692
Lan and Lan,0.0451917230624553,0.204229183335365
OrA and VMm,0.0439021987344816,0.192740305372192
CiO and Smn,0.0428884167791622,0.183941629382312
PMm and Vi1,0.0402759144976951,0.162214928862565
DAn and Smn,0.0384918800765602,0.148162483182829
DAn and Vi2,0.0367692299129648,0.135197626839247
VMm and Vi2,0.0347890492661311,0.12102779488413
Vi1 and Vi1,0.0347401279914938,0.120687649286537
Sub and Sub,0.0323580268767907,0.104704190335911
Smn and Sub,0.0318940874191642,0.101723281230129
DAn and OrA,0.03021573197609,0.0912990458850908
Lan and Smn,0.0295773530284516,0.0874819812169653
DAn and Def,0.0275106657296988,0.0756836728891222
OrA and Vi1,0.0261303470651518,0.0682795037745286
OrA and OrA,0.0255588133895833,0.0653252941883545
CiO and Vi2,0.025201286668175,0.0635104849731534
Def and Sub,0.0233466153028284,0.0545064446098261
DAn and Vi1,0.0219963880212211,0.0483841085980119
Smn and VMm,0.0201119251556307,0.0404489533465689
Def and PMm,0.0191736334244194,0.0367628218694013
OrA and PMm,0.0187669457935053,0.0352198254416366
FPn and Smn,0.0185298155448703,0.0343354064126918
FPn and Vi1,0.0183820789034857,0.0337900824813973
Lan and Vi1,0.0167529942990336,0.0280662817983453
VMm and VMm,0.0127244276206356,0.0161911058272793
Aud and VMm,0.0122972666476522,0.0151222767003458
DAn and PMm,0.0113928802210842,0.0129797719731972
Aud and Vi1,0.0105109185744974,0.0110479409279714
OrA and Smn,0.00889853172801449,0.00791838669144805
Smn and Vi2,0.00633401922827392,0.00401197995841437
Aud and CiO,0.00343294458619483,0.00117851085318844
OrA and Vi2,0.00299877143008515,0.000899263008989493
Lan and Sub,0.00240464847578871,0.000578233429211296
Def and OrA,0.00094163559980688,8.86677602823663e-05
CiO and PMm,0.000848791264782934,7.20446611171813e-05
Aud and Def,6.15206891377012e-06,3.78479519197766e-09
Vi2 and Vi2,-0.0021069723553286,0.000443933250611894
PMm and Smn,-0.00759242158544499,0.0057644865531131
PMm and Vi2,-0.00777587336272319,0.00604642065531081
Def and Vi2,-0.0100241945184203,0.0100484475743128
Def and Vi1,-0.0124958760398651,0.0156146918003676
Vi1 and Vi2,-0.0143714095363144,0.020653741206047
Aud and OrA,-0.0145143642022978,0.0210666768196942
FPn and Vi2,-0.0149775464554274,0.0224326897824486
CiO and Lan,-0.016316264582095,0.0266220489912927
Lan and Vi2,-0.0175746364307174,0.0308867845671899
Sub and VMm,-0.0175954660408666,0.0309600425195291
Aud and DAn,-0.0186298064312951,0.0347069687667526
CiO and OrA,-0.0189641332792421,0.0359638351032857
Smn and Smn,-0.0244099326526206,0.0595844812105476
Lan and OrA,-0.0341220039971036,0.116431115677836
Lan and PMm,-0.0342774221397998,0.117494166855004
Aud and Lan,-0.0364379198536705,0.132772200326251
Aud and Vi2,-0.0397513357211405,0.158016869161482
Aud and FPn,-0.0442162299527768,0.195507499123684
Aud and PMm,-0.0497977290490949,0.247981381844707
Aud and Smn,-0.0502175910779235,0.252180645366955
PMm and VMm,-0.0504929432779963,0.254953732087495
OrA and Sub,-0.0589697550922964,0.347743201564542
PMm and PMm,-0.0603203973541753,0.36385503369656
PMm and Sub,-0.0736327020638821,0.542177481322843
