ix,name,shortname,R,G,B
1,Default                      ,Def,1,0,0
2,Somatosensory medial (hand)  ,SMm,0,1,1
3,Somatosensory lateral (mouth),SMl,1,0.502,0
4,Default                      ,Def,1,0,0
5,Visual                       ,Vis,0,0,1
6,Default                      ,Def,1,0,0
7,Fronto-Parietal              ,FrP,0.9,0.6,0
8,Visual                       ,Vis,0,0,1
9,Fronto-Parietal              ,FrP,0.9,0.6,0
10,Auditory                     ,Aud,1,0,1
11,No assignment                ,non,0.502,0.502,0.502
12,Cingulo-Parietal             ,CiP,0,0.427,1
13,Retrosplenial Temporal       ,ReT,0.863,0.863,0.863
14,Retrosplenial Temporal       ,ReT,0.863,0.863,0.863
15,Visual                       ,Vis,0,0,1
16,Visual                       ,Vis,0,0,1
17,Visual                       ,Vis,0,0,1
18,No assignment                ,non,0.502,0.502,0.502
19,No assignment                ,non,0.502,0.502,0.502
20,Visual                       ,Vis,0,0,1
21,Cingulo Opercular            ,CiO,0.502,0,0.502
22,Cingulo Opercular            ,CiO,0.502,0,0.502
23,Ventral Attention            ,VeA,0,0.502,0.502
24,Fronto-Parietal              ,FrP,0.9,0.6,0
25,Default                      ,Def,1,0,0
26,Default                      ,Def,1,0,0
27,Cingulo Opercular            ,CiO,0.502,0,0.502
28,Cingulo Opercular            ,CiO,0.502,0,0.502
29,Salience                     ,Sal,0,0,0
30,Somatosensory medial (hand)  ,SMm,0,1,1
31,Somatosensory medial (hand)  ,SMm,0,1,1
32,Somatosensory medial (hand)  ,SMm,0,1,1
33,Somatosensory medial (hand)  ,SMm,0,1,1
34,Cingulo Opercular            ,CiO,0.502,0,0.502
35,Somatosensory medial (hand)  ,SMm,0,1,1
36,Somatosensory medial (hand)  ,SMm,0,1,1
37,Somatosensory medial (hand)  ,SMm,0,1,1
38,Somatosensory medial (hand)  ,SMm,0,1,1
39,Somatosensory lateral (mouth),SMl,1,0.502,0
40,Cingulo Opercular            ,CiO,0.502,0,0.502
